cve_ent,nom_ent,fecha_publica,fecha_inicio,fecha_fin,color_sem,nivel
30,Veracruz de Ignacio de la Llave,28/08/2020,31/08/2020,13/09/2020,Amarillo,Medio
31,Yucatán,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
32,Zacatecas,28/08/2020,31/08/2020,13/09/2020,Naranja,Alto
1,Aguascalientes,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
2,Baja California,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
3,Baja California Sur,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
4,Campeche,11/09/2020,14/09/2020,27/09/2020,Amarillo,Medio
5,Coahuila de Zaragoza,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
6,Colima,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
7,Chiapas,11/09/2020,14/09/2020,27/09/2020,Amarillo,Medio
8,Chihuahua,11/09/2020,14/09/2020,27/09/2020,Amarillo,Medio
9,Ciudad de México,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
10,Durango,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
11,Guanajuato,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
12,Guerrero,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
13,Hidalgo,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
14,Jalisco,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
15,México,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
16,Michoacán de Ocampo,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
17,Morelos,11/09/2020,14/09/2020,27/09/2020,Amarillo,Medio
18,Nayarit,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
19,Nuevo León,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
20,Oaxaca,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
21,Puebla,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
22,Querétaro,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
23,Quintana Roo,11/09/2020,14/09/2020,27/09/2020,Amarillo,Medio
24,San Luis Potosí,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
25,Sinaloa,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
26,Sonora,11/09/2020,14/09/2020,27/09/2020,Amarillo,Medio
27,Tabasco,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
28,Tamaulipas,11/09/2020,14/09/2020,27/09/2020,Amarillo,Medio
29,Tlaxcala,11/09/2020,14/09/2020,27/09/2020,Amarillo,Medio
30,Veracruz de Ignacio de la Llave,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
31,Yucatán,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
32,Zacatecas,11/09/2020,14/09/2020,27/09/2020,Naranja,Alto
1,Aguascalientes,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
2,Baja California,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
3,Baja California Sur,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
4,Campeche,25/09/2020,28/09/2020,11/10/2020,Verde,Bajo
5,Coahuila de Zaragoza,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
6,Colima,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
7,Chiapas,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
8,Chihuahua,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
9,Ciudad de México,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
10,Durango,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
11,Guanajuato,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
12,Guerrero,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
13,Hidalgo,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
14,Jalisco,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
15,México,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
16,Michoacán de Ocampo,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
17,Morelos,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
18,Nayarit,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
19,Nuevo León,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
20,Oaxaca,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
21,Puebla,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
22,Querétaro,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
23,Quintana Roo,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
24,San Luis Potosí,25/09/2020,28/09/2020,11/10/2020,Naranja,Alto
25,Sinaloa,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
26,Sonora,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
27,Tabasco,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
28,Tamaulipas,25/09/2020,28/09/2020,11/10/2020,Amarillo,Medio
